genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/7BDI9Iqt24gl4RGdS6hWs9,7BDI9Iqt24gl4RGdS6hWs9,,Ray Peterson,42,artist,spotify:artist:7BDI9Iqt24gl4RGdS6hWs9,https://open.spotify.com/artist/7BDI9Iqt24gl4RGdS6hWs9,NA,23506
,https://api.spotify.com/v1/artists/4cPHsZM98sKzmV26wlwD2W,4cPHsZM98sKzmV26wlwD2W,,Brenda Lee,59,artist,spotify:artist:4cPHsZM98sKzmV26wlwD2W,https://open.spotify.com/artist/4cPHsZM98sKzmV26wlwD2W,NA,258304
,https://api.spotify.com/v1/artists/4hJTgr1adnhIkhmD9jLzd6,4hJTgr1adnhIkhmD9jLzd6,,Bobby Rydell,45,artist,spotify:artist:4hJTgr1adnhIkhmD9jLzd6,https://open.spotify.com/artist/4hJTgr1adnhIkhmD9jLzd6,NA,74201
,https://api.spotify.com/v1/artists/1eYhYunlNJlDoQhtYBvPsi,1eYhYunlNJlDoQhtYBvPsi,,Ray Charles,70,artist,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,https://open.spotify.com/artist/1eYhYunlNJlDoQhtYBvPsi,NA,1862002
,https://api.spotify.com/v1/artists/3RMm7nqy4t1VU1O3ffDuYP,3RMm7nqy4t1VU1O3ffDuYP,,Spencer Ross,0,artist,spotify:artist:3RMm7nqy4t1VU1O3ffDuYP,https://open.spotify.com/artist/3RMm7nqy4t1VU1O3ffDuYP,NA,10
,https://api.spotify.com/v1/artists/3iOE5ItEv5xr9fmKi7GNh2,3iOE5ItEv5xr9fmKi7GNh2,,Lloyd Price,47,artist,spotify:artist:3iOE5ItEv5xr9fmKi7GNh2,https://open.spotify.com/artist/3iOE5ItEv5xr9fmKi7GNh2,NA,67067
,https://api.spotify.com/v1/artists/64vw6q9ZBTop3Tf2ol1x4U,64vw6q9ZBTop3Tf2ol1x4U,,The Crests,43,artist,spotify:artist:64vw6q9ZBTop3Tf2ol1x4U,https://open.spotify.com/artist/64vw6q9ZBTop3Tf2ol1x4U,NA,25431
,https://api.spotify.com/v1/artists/3PrFCybHMqrcPls31JxoIl,3PrFCybHMqrcPls31JxoIl,,Johnny Burnette,42,artist,spotify:artist:3PrFCybHMqrcPls31JxoIl,https://open.spotify.com/artist/3PrFCybHMqrcPls31JxoIl,NA,43694
,https://api.spotify.com/v1/artists/25q0j1r1m5UM8GwFPLcopw,25q0j1r1m5UM8GwFPLcopw,,Joe Jones,21,artist,spotify:artist:25q0j1r1m5UM8GwFPLcopw,https://open.spotify.com/artist/25q0j1r1m5UM8GwFPLcopw,NA,1109
,https://api.spotify.com/v1/artists/1YAtBHWaWzZnkaoSFHGTBV,1YAtBHWaWzZnkaoSFHGTBV,,Guy Mitchell,44,artist,spotify:artist:1YAtBHWaWzZnkaoSFHGTBV,https://open.spotify.com/artist/1YAtBHWaWzZnkaoSFHGTBV,NA,24382
,https://api.spotify.com/v1/artists/218kRJZ7FJs0hWIk8Ynzhz,218kRJZ7FJs0hWIk8Ynzhz,,Charlie Rich,54,artist,spotify:artist:218kRJZ7FJs0hWIk8Ynzhz,https://open.spotify.com/artist/218kRJZ7FJs0hWIk8Ynzhz,NA,169569
,https://api.spotify.com/v1/artists/17nxEt3oZte3eUuVio6W55,17nxEt3oZte3eUuVio6W55,,Larry Hall,31,artist,spotify:artist:17nxEt3oZte3eUuVio6W55,https://open.spotify.com/artist/17nxEt3oZte3eUuVio6W55,NA,922
,https://api.spotify.com/v1/artists/7dNsHhGeGU5MV01r06O8gK,7dNsHhGeGU5MV01r06O8gK,,Patsy Cline,63,artist,spotify:artist:7dNsHhGeGU5MV01r06O8gK,https://open.spotify.com/artist/7dNsHhGeGU5MV01r06O8gK,NA,684797
,https://api.spotify.com/v1/artists/6KfBWaX13etjtEZ4d9aTWW,6KfBWaX13etjtEZ4d9aTWW,,Bobby Lewis,34,artist,spotify:artist:6KfBWaX13etjtEZ4d9aTWW,https://open.spotify.com/artist/6KfBWaX13etjtEZ4d9aTWW,NA,2596
,https://api.spotify.com/v1/artists/0JDkhL4rjiPNEp92jAgJnS,0JDkhL4rjiPNEp92jAgJnS,,Roy Orbison,68,artist,spotify:artist:0JDkhL4rjiPNEp92jAgJnS,https://open.spotify.com/artist/0JDkhL4rjiPNEp92jAgJnS,NA,1502988
,https://api.spotify.com/v1/artists/3c8WoNjBfyLJhFObE6RHgs,3c8WoNjBfyLJhFObE6RHgs,,Del Shannon,52,artist,spotify:artist:3c8WoNjBfyLJhFObE6RHgs,https://open.spotify.com/artist/3c8WoNjBfyLJhFObE6RHgs,NA,224137
,https://api.spotify.com/v1/artists/2HWsf577KqaPhXyBFzei7L,2HWsf577KqaPhXyBFzei7L,,The Jive Five,31,artist,spotify:artist:2HWsf577KqaPhXyBFzei7L,https://open.spotify.com/artist/2HWsf577KqaPhXyBFzei7L,NA,11909
,https://api.spotify.com/v1/artists/7qQJQ3YtcGlqaLg5tcypN2,7qQJQ3YtcGlqaLg5tcypN2,,Chubby Checker,59,artist,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2,https://open.spotify.com/artist/7qQJQ3YtcGlqaLg5tcypN2,NA,257300
,https://api.spotify.com/v1/artists/7CG3fjmCcZHXOnxYrpgE6W,7CG3fjmCcZHXOnxYrpgE6W,,The String-A-Longs,29,artist,spotify:artist:7CG3fjmCcZHXOnxYrpgE6W,https://open.spotify.com/artist/7CG3fjmCcZHXOnxYrpgE6W,NA,1852
,https://api.spotify.com/v1/artists/6PyZY3e7wgYgRdegqvqhSo,6PyZY3e7wgYgRdegqvqhSo,,Dee Clark,32,artist,spotify:artist:6PyZY3e7wgYgRdegqvqhSo,https://open.spotify.com/artist/6PyZY3e7wgYgRdegqvqhSo,NA,11656
,https://api.spotify.com/v1/artists/1b5taabb9eKSbyzVFVtEjh,1b5taabb9eKSbyzVFVtEjh,,Joe Dowell,13,artist,spotify:artist:1b5taabb9eKSbyzVFVtEjh,https://open.spotify.com/artist/1b5taabb9eKSbyzVFVtEjh,NA,356
,https://api.spotify.com/v1/artists/2GMH35k5oLCjzYpn5HbaD8,2GMH35k5oLCjzYpn5HbaD8,,Lawrence Welk,36,artist,spotify:artist:2GMH35k5oLCjzYpn5HbaD8,https://open.spotify.com/artist/2GMH35k5oLCjzYpn5HbaD8,NA,15206
,https://api.spotify.com/v1/artists/0x83OBqixqdCHnStP5VMcn,0x83OBqixqdCHnStP5VMcn,,The Shirelles,56,artist,spotify:artist:0x83OBqixqdCHnStP5VMcn,https://open.spotify.com/artist/0x83OBqixqdCHnStP5VMcn,NA,240569
,https://api.spotify.com/v1/artists/4EYRKWX3RvHihDHDr8TocR,4EYRKWX3RvHihDHDr8TocR,,The Mar-Keys,36,artist,spotify:artist:4EYRKWX3RvHihDHDr8TocR,https://open.spotify.com/artist/4EYRKWX3RvHihDHDr8TocR,NA,23919
,https://api.spotify.com/v1/artists/6LaraO4gcDKWw0fwIOTodm,6LaraO4gcDKWw0fwIOTodm,,The Dovells,32,artist,spotify:artist:6LaraO4gcDKWw0fwIOTodm,https://open.spotify.com/artist/6LaraO4gcDKWw0fwIOTodm,NA,11113
,https://api.spotify.com/v1/artists/73sSFVlM6pkweLXE8qw1OS,73sSFVlM6pkweLXE8qw1OS,,Ricky Nelson,62,artist,spotify:artist:73sSFVlM6pkweLXE8qw1OS,https://open.spotify.com/artist/73sSFVlM6pkweLXE8qw1OS,NA,354796
,https://api.spotify.com/v1/artists/6TqQLejnHXMGr7KcegxUND,6TqQLejnHXMGr7KcegxUND,,The Miracles,51,artist,spotify:artist:6TqQLejnHXMGr7KcegxUND,https://open.spotify.com/artist/6TqQLejnHXMGr7KcegxUND,NA,310392
,https://api.spotify.com/v1/artists/6DQ6mdEhxCgHPqfX1niZZK,6DQ6mdEhxCgHPqfX1niZZK,,Floyd Cramer,44,artist,spotify:artist:6DQ6mdEhxCgHPqfX1niZZK,https://open.spotify.com/artist/6DQ6mdEhxCgHPqfX1niZZK,NA,15963
