artists,available_markets,disc_number,duration_ms,explicit,href,id,is_local,name,popularity,preview_url,track_number,type,uri,album.album_type,album.artists,album.available_markets,album.href,album.id,album.images,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc,external_urls.spotify
,,1,142000,FALSE,https://api.spotify.com/v1/tracks/2YsNLEBGS9LP0mtcDY3GnR,2YsNLEBGS9LP0mtcDY3GnR,FALSE,Mule Skinner Blues,0,NA,6,track,spotify:track:2YsNLEBGS9LP0mtcDY3GnR,compilation,,,https://api.spotify.com/v1/albums/54lmZz23NZiOW81Kp1KpkC,54lmZz23NZiOW81Kp1KpkC,,Monster Mash,2001-01-01,day,12,album,spotify:album:54lmZz23NZiOW81Kp1KpkC,https://open.spotify.com/album/54lmZz23NZiOW81Kp1KpkC,USDEI6004224,https://open.spotify.com/track/2YsNLEBGS9LP0mtcDY3GnR
,,1,142524,FALSE,https://api.spotify.com/v1/tracks/4sthCEbCCGaYbEA8V823XB,4sthCEbCCGaYbEA8V823XB,FALSE,Cradle of Love,0,NA,11,track,spotify:track:4sthCEbCCGaYbEA8V823XB,compilation,,,https://api.spotify.com/v1/albums/5EaM4QZVCeEMtDkprocmLZ,5EaM4QZVCeEMtDkprocmLZ,,The 60's Collection Vol. 1,2011-11-16,day,23,album,spotify:album:5EaM4QZVCeEMtDkprocmLZ,https://open.spotify.com/album/5EaM4QZVCeEMtDkprocmLZ,USA371686068,https://open.spotify.com/track/4sthCEbCCGaYbEA8V823XB
,,1,194546,FALSE,https://api.spotify.com/v1/tracks/6ocPNo99zEKqbJalKuMyxO,6ocPNo99zEKqbJalKuMyxO,FALSE,Harbor Lights,0,NA,29,track,spotify:track:6ocPNo99zEKqbJalKuMyxO,compilation,,,https://api.spotify.com/v1/albums/6XOpVcNWQD7kXDjtrWM968,6XOpVcNWQD7kXDjtrWM968,,Cruisin' To The Hits Of The '50s & '60s,2007-08-28,day,101,album,spotify:album:6XOpVcNWQD7kXDjtrWM968,https://open.spotify.com/album/6XOpVcNWQD7kXDjtrWM968,USA560686048,https://open.spotify.com/track/6ocPNo99zEKqbJalKuMyxO
,,1,139133,FALSE,https://api.spotify.com/v1/tracks/0LvVSeRtApthJ4mUOFsHMt,0LvVSeRtApthJ4mUOFsHMt,FALSE,Let the Little Girl Dance,0,NA,14,track,spotify:track:0LvVSeRtApthJ4mUOFsHMt,compilation,,,https://api.spotify.com/v1/albums/6ZJJPpMoRoyl92nZQhesje,6ZJJPpMoRoyl92nZQhesje,,"Rock'n'Roll Feelings, Vol.3",2011-01-21,day,24,album,spotify:album:6ZJJPpMoRoyl92nZQhesje,https://open.spotify.com/album/6ZJJPpMoRoyl92nZQhesje,FR6V80798063,https://open.spotify.com/track/0LvVSeRtApthJ4mUOFsHMt
,,1,150265,FALSE,https://api.spotify.com/v1/tracks/0f4BsvH2nrQYNlURk3nPk3,0f4BsvH2nrQYNlURk3nPk3,FALSE,A Million To One,0,NA,15,track,spotify:track:0f4BsvH2nrQYNlURk3nPk3,compilation,,,https://api.spotify.com/v1/albums/5uP5Y1MQQeg7p0lNM1A8IR,5uP5Y1MQQeg7p0lNM1A8IR,,Fifties Songs Vol 4,2011-02-28,day,17,album,spotify:album:5uP5Y1MQQeg7p0lNM1A8IR,https://open.spotify.com/album/5uP5Y1MQQeg7p0lNM1A8IR,USESK0608255,https://open.spotify.com/track/0f4BsvH2nrQYNlURk3nPk3
,,1,201866,FALSE,https://api.spotify.com/v1/tracks/593RSZzEZogtwSAq2AU8Lf,593RSZzEZogtwSAq2AU8Lf,FALSE,The Village of St. Bernadette,4,https://p.scdn.co/mp3-preview/b8e2dc447c7eb2bf324fd9fe95122fe79c658cf7?cid=d450383041644584b024ce9752894d1c,1,track,spotify:track:593RSZzEZogtwSAq2AU8Lf,compilation,,,https://api.spotify.com/v1/albums/0TsxmZmXnl22O9Hj8HW7nz,0TsxmZmXnl22O9Hj8HW7nz,,The Village Of St. Bernadette,1959,year,12,album,spotify:album:0TsxmZmXnl22O9Hj8HW7nz,https://open.spotify.com/album/0TsxmZmXnl22O9Hj8HW7nz,USZZM0710121,https://open.spotify.com/track/593RSZzEZogtwSAq2AU8Lf
,,1,138293,FALSE,https://api.spotify.com/v1/tracks/0dx2fU89AiazJ1zqW43XRE,0dx2fU89AiazJ1zqW43XRE,FALSE,Devil Or Angel,0,NA,2,track,spotify:track:0dx2fU89AiazJ1zqW43XRE,single,,,https://api.spotify.com/v1/albums/2ZsutxE2yuJ9FrmKc9cYWB,2ZsutxE2yuJ9FrmKc9cYWB,,Bobby Vee - His Very Best,2008-08-20,day,6,album,spotify:album:2ZsutxE2yuJ9FrmKc9cYWB,https://open.spotify.com/album/2ZsutxE2yuJ9FrmKc9cYWB,USDEI7601405,https://open.spotify.com/track/0dx2fU89AiazJ1zqW43XRE
,,1,150360,FALSE,https://api.spotify.com/v1/tracks/7LjYA5GUD9CLNmdYqRVIdS,7LjYA5GUD9CLNmdYqRVIdS,FALSE,Down By The Station,0,NA,17,track,spotify:track:7LjYA5GUD9CLNmdYqRVIdS,compilation,,,https://api.spotify.com/v1/albums/3v26Vg9i5EvU64tJsgw81J,3v26Vg9i5EvU64tJsgw81J,,Great Vocal Groups of the 50's,2007-04-09,day,20,album,spotify:album:3v26Vg9i5EvU64tJsgw81J,https://open.spotify.com/album/3v26Vg9i5EvU64tJsgw81J,USDEI7702502,https://open.spotify.com/track/7LjYA5GUD9CLNmdYqRVIdS
,,1,162266,FALSE,https://api.spotify.com/v1/tracks/78hr1LxCs9x51GtLU82708,78hr1LxCs9x51GtLU82708,FALSE,Image Of A Girl,0,NA,1,track,spotify:track:78hr1LxCs9x51GtLU82708,compilation,,,https://api.spotify.com/v1/albums/2iLu4xtLDRcVWF3MrxB5Ms,2iLu4xtLDRcVWF3MrxB5Ms,,Johnny Otis Presents Eldo Records Featuring Image Of A Girl,2010-05-18,day,13,album,spotify:album:2iLu4xtLDRcVWF3MrxB5Ms,https://open.spotify.com/album/2iLu4xtLDRcVWF3MrxB5Ms,USFDB0614801,https://open.spotify.com/track/78hr1LxCs9x51GtLU82708
,,1,154160,FALSE,https://api.spotify.com/v1/tracks/3CO06wwoCT3tpCPBrdWAAW,3CO06wwoCT3tpCPBrdWAAW,FALSE,Kiddio,0,NA,21,track,spotify:track:3CO06wwoCT3tpCPBrdWAAW,compilation,,,https://api.spotify.com/v1/albums/4Qst3xc4ImDL74sXa3LsTH,4Qst3xc4ImDL74sXa3LsTH,,American Graffiti - '50s Rock N' Roll (Soundtrack To The '50s),2009-04-01,day,38,album,spotify:album:4Qst3xc4ImDL74sXa3LsTH,https://open.spotify.com/album/4Qst3xc4ImDL74sXa3LsTH,USA560957393,https://open.spotify.com/track/3CO06wwoCT3tpCPBrdWAAW
,,1,158560,FALSE,https://api.spotify.com/v1/tracks/2st1rBXjZzIw8aFttiokur,2st1rBXjZzIw8aFttiokur,FALSE,I Love The Way You Love - Re-Recording,0,NA,10,track,spotify:track:2st1rBXjZzIw8aFttiokur,compilation,,,https://api.spotify.com/v1/albums/45oNlcOEaweRWQpFb5EN2b,45oNlcOEaweRWQpFb5EN2b,,Be My Valentine - R&B's Greatest Love Songs,2009-01-12,day,20,album,spotify:album:45oNlcOEaweRWQpFb5EN2b,https://open.spotify.com/album/45oNlcOEaweRWQpFb5EN2b,USDEI8002549,https://open.spotify.com/track/2st1rBXjZzIw8aFttiokur
,,1,179664,FALSE,https://api.spotify.com/v1/tracks/44zS9qRw8FSk752N6vYXHT,44zS9qRw8FSk752N6vYXHT,FALSE,Tell Laura I Love Her,0,NA,1,track,spotify:track:44zS9qRw8FSk752N6vYXHT,compilation,,,https://api.spotify.com/v1/albums/6xX6hkUj5TZ6dAuTVEweJW,6xX6hkUj5TZ6dAuTVEweJW,,Popular Ballads Vol 1,2011-03-15,day,14,album,spotify:album:6xX6hkUj5TZ6dAuTVEweJW,https://open.spotify.com/album/6xX6hkUj5TZ6dAuTVEweJW,USESK0608786,https://open.spotify.com/track/44zS9qRw8FSk752N6vYXHT
,,1,235964,FALSE,https://api.spotify.com/v1/tracks/6hPlKtsqfFMKhYEzHpgrgb,6hPlKtsqfFMKhYEzHpgrgb,FALSE,Mama,0,NA,9,track,spotify:track:6hPlKtsqfFMKhYEzHpgrgb,compilation,,,https://api.spotify.com/v1/albums/6oFN5wWQoRh0ekr0EUQcJE,6oFN5wWQoRh0ekr0EUQcJE,,Her Greatest Hits,2011-05-09,day,30,album,spotify:album:6oFN5wWQoRh0ekr0EUQcJE,https://open.spotify.com/album/6oFN5wWQoRh0ekr0EUQcJE,GBGQH1100083,https://open.spotify.com/track/6hPlKtsqfFMKhYEzHpgrgb
,,1,134199,FALSE,https://api.spotify.com/v1/tracks/1kQ3aC8JDEFAecd3H0igYA,1kQ3aC8JDEFAecd3H0igYA,FALSE,Footsteps,0,NA,14,track,spotify:track:1kQ3aC8JDEFAecd3H0igYA,compilation,,,https://api.spotify.com/v1/albums/6xX6hkUj5TZ6dAuTVEweJW,6xX6hkUj5TZ6dAuTVEweJW,,Popular Ballads Vol 1,2011-03-15,day,14,album,spotify:album:6xX6hkUj5TZ6dAuTVEweJW,https://open.spotify.com/album/6xX6hkUj5TZ6dAuTVEweJW,USESK0608799,https://open.spotify.com/track/1kQ3aC8JDEFAecd3H0igYA
